campusName,uuid
"eScholarship@Frostburg",e34f5843-e595-4050-9f20-3c730277abf8
"eScholarship@Goucher",600e1739-8b79-4b3a-a63e-6e294122173e
"Hood College",ed384ea7-4a06-4491-b7ef-f81aa1abdea4
"Loyola Notre Dame Library",6083f1c5-cab2-4a29-94aa-48136b67f4e4
"eScholarship@Morgan",2f4b286e-89fe-43d5-acd8-9b23d479e8f6
"SOAR@SU",639afd57-c954-493d-8edd-df0a9cf4a0fd
"Stevenson Scholar Exchange @ Stevenson University",f2db9a4e-700c-4245-95f0-e8279a94aba7
"SOAR @ SMCM",641f2917-f4e7-4d07-8b84-a6191f83b4de
"ScholarWorks@Towson",113328b5-9ee7-4830-990f-7dffc00104c5
"KnowledgeWorks@UBalt",d0c2feef-ef35-4aac-a6a2-4824d746cda4
"ScholarWorks@UMBC",b1076c89-bcbc-455c-b2df-ec2af2d813a2
"University of Maryland Eastern Shore",6e7b8e59-1247-4bfe-8ec5-66017ea52a39
